ncodpers,added_products
103709,ind_tjcr_fin_ult1
103710,ind_tjcr_fin_ult1
103714,ind_tjcr_fin_ult1
103717,ind_tjcr_fin_ult1
103718,ind_tjcr_fin_ult1
103719,ind_tjcr_fin_ult1
103725,ind_tjcr_fin_ult1
103726,ind_tjcr_fin_ult1
103728,ind_tjcr_fin_ult1
103729,ind_tjcr_fin_ult1
103730,ind_tjcr_fin_ult1
103732,ind_tjcr_fin_ult1
103734,ind_tjcr_fin_ult1
103735,ind_tjcr_fin_ult1
103736,ind_tjcr_fin_ult1
103742,ind_tjcr_fin_ult1
103743,ind_tjcr_fin_ult1
103746,ind_tjcr_fin_ult1
103748,ind_tjcr_fin_ult1
103752,ind_tjcr_fin_ult1
103755,ind_tjcr_fin_ult1
103756,ind_tjcr_fin_ult1
103758,ind_tjcr_fin_ult1
103762,ind_tjcr_fin_ult1
103764,ind_tjcr_fin_ult1
103766,ind_tjcr_fin_ult1
103767,ind_tjcr_fin_ult1
103769,ind_tjcr_fin_ult1
103770,ind_tjcr_fin_ult1
103771,ind_tjcr_fin_ult1
103772,ind_tjcr_fin_ult1
103775,ind_tjcr_fin_ult1
103777,ind_tjcr_fin_ult1
103779,ind_tjcr_fin_ult1
103783,ind_tjcr_fin_ult1
103784,ind_tjcr_fin_ult1
103785,ind_tjcr_fin_ult1
103787,ind_tjcr_fin_ult1
103788,ind_tjcr_fin_ult1
103790,ind_tjcr_fin_ult1
103794,ind_tjcr_fin_ult1
103795,ind_tjcr_fin_ult1
103796,ind_tjcr_fin_ult1
103798,ind_tjcr_fin_ult1
103800,ind_tjcr_fin_ult1
103805,ind_tjcr_fin_ult1
103806,ind_tjcr_fin_ult1
103808,ind_tjcr_fin_ult1
103810,ind_tjcr_fin_ult1
103813,ind_tjcr_fin_ult1
103815,ind_tjcr_fin_ult1
103818,ind_tjcr_fin_ult1
103821,ind_tjcr_fin_ult1
103823,ind_tjcr_fin_ult1
103824,ind_tjcr_fin_ult1
103825,ind_tjcr_fin_ult1
103826,ind_tjcr_fin_ult1
103828,ind_tjcr_fin_ult1
103829,ind_tjcr_fin_ult1
103831,ind_tjcr_fin_ult1
103832,ind_tjcr_fin_ult1
103834,ind_tjcr_fin_ult1
103840,ind_tjcr_fin_ult1
103842,ind_tjcr_fin_ult1
103843,ind_tjcr_fin_ult1
103845,ind_tjcr_fin_ult1
103849,ind_tjcr_fin_ult1
103851,ind_tjcr_fin_ult1
103852,ind_tjcr_fin_ult1
103853,ind_tjcr_fin_ult1
103857,ind_tjcr_fin_ult1
103858,ind_tjcr_fin_ult1
103859,ind_tjcr_fin_ult1
103861,ind_tjcr_fin_ult1
